"Submission Date",Cinsiyet,"Yan haklarınız","Şirketiniz hangi lokasyon merkezli?","Şirketiniz hangi şehirde? (Eğer Türkiye ise)","Çalışma şekliniz nedir?","Şirketinizin çalışan sayısı nedir?","Hangi pozisyonda çalışıyorsunuz?","Seviyeniz nedir?",Deneyim,"Ağırlıklı olarak hangi teknolojileri / dilleri kullanıyorsunuz?","Kazancınız hangi para biriminde?","Maaş tipi","Ara zam / iyileştirme aldıysanız oranı hangi aralıkta?","Maaş / Aylık Türk Lirası cinsinden"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Özel günlerce dhediye çeki
Personel servisi
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası",Türkiye,"06 Ankara",Hybrid,1.000-5.000,Diğer,Mid,"3-5 Yıl","ChatGPT
Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
SQL","Türk Lirası",Net,%36-%50,"30.001 TL - 37.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Personel servisi
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,1.000-5.000,"Fullstack Developer / Engineer",Mid,"1-3 Yıl","C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
SQL","Türk Lirası",Net,%21-%35,"45.001 TL - 55.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Spor salonu üyeliği / indirimi
Şirket telefonu
Erzak yardımı
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
İşçi tazminatı
Tıbbi izin","Yurt dışı",,Remote,1.000-5.000,"Machine Learning Engineer",Junior,"1-3 Yıl","Adobe CC araçları
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Python",Euro,Net,,"100.001 TL - 130.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Spor salonu üyeliği / indirimi
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Ofiste,51-150,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","ChatGPT
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
PHP
SAP","Türk Lirası",Net,,"25.001 TL - 30.000 TL"
"Ağu 4, 2023",Erkek,"Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"58 Sivas",Remote,1-50,"AI - ML Developer / Engineer",Junior,"1-3 Yıl",Python,"Türk Lirası",Net,,"37.001 TL - 45.000 TL"
"Ağu 4, 2023",Erkek,"Yol / yakıt yardımı
Erzak yardımı","Yurt dışı","41 Kocaeli",Remote,1-50,"Fullstack Developer / Engineer",Mid,"1-3 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler",Dolar,Net,,"70.001 TL - 85.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Eğitim ödemeleri
Employee stock options",Türkiye,"34 İstanbul",Remote,1-50,"CTO (Chief Technology Officer)",Senior,"9-12 Yıl","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
No-code / Low-code Araçları
SQL","Türk Lirası",Brüt,"%51 ve üzeri","55.001 TL - 70.000 TL"
"Ağu 4, 2023",Erkek,"Personel servisi
Hayat sigortası
İşsizlik sigortası
İşçi tazminatı",Türkiye,"41 Kocaeli",Hybrid,5.000-10.000,"Backend Developer / Engineer",Mid,"1-3 Yıl","Java ve bağlı framework'ler","Türk Lirası",Brüt,%21-%35,"37.001 TL - 45.000 TL"
"Ağu 4, 2023",Erkek,"Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,1-50,"Backend Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework
Microsoft Office Araçları
NoSQL
SQL","Türk Lirası",Net,%21-%35,"20.001 TL - 25.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Spor salonu üyeliği / indirimi
Özel günlerce dhediye çeki",Türkiye,"34 İstanbul",Hybrid,51-150,"Business Analyst",Junior,"0-1 Yıl","No-code / Low-code Araçları","Türk Lirası",Net,%11-%20,"15.001 TL - 18.000 TL"
"Ağu 4, 2023",Erkek,"Şirket aracı
Şirket telefonu
Erzak yardımı
Tamamlayıcı sağlık sigortası",Türkiye,"59 Tekirdağ",Ofiste,601-1.000,"Tech Lead",Senior,"12 Yıl ve üzeri","C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
Microsoft Office Araçları
SAP
SQL","Türk Lirası",Net,%21-%35,"45.001 TL - 55.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,151-300,"Team Lead",Senior,"5-9 Yıl","C# / .NET Framework","Türk Lirası",Net,%36-%50,"55.001 TL - 70.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Eğitim ödemeleri",Türkiye,"26 Eskişehir",Ofiste,1-50,"Backend Developer / Engineer",Junior,"0-1 Yıl","C# / .NET Framework
SQL","Türk Lirası",Brüt,%11-%20,"18.001 TL - 20.000 TL"
"Ağu 4, 2023",Kadın,"Yemek kartı
Personel servisi
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
Emeklilik planlama hizmetleri
İşsizlik sigortası",Türkiye,"34 İstanbul",Hybrid,"10.000 ve üzeri","Business Analyst",Junior,"0-1 Yıl","Java ve bağlı framework'ler
SQL","Türk Lirası",Net,%36-%50,"25.001 TL - 30.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Özel günlerce dhediye çeki
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Ofiste,1-50,"Backend Developer / Engineer",Mid,"1-3 Yıl","C# / .NET Framework
Docker / containerd / Hyper-V / LXC / Podman
Golang
Javascript / Typescript ve bağlı framework'ler
PHP","Türk Lirası",Net,,"18.001 TL - 20.000 TL"
"Ağu 4, 2023",Erkek,"Yol / yakıt yardımı
Spor salonu üyeliği / indirimi
Personel servisi
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Employee stock options
Belirli günlerde izin(doğum günü, regl izni gibi)","Yurt dışı","34 İstanbul",Remote,301-600,"Scrum Master",Mid,"5-9 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları","Türk Lirası",Net,%21-%35,"55.001 TL - 70.000 TL"
"Ağu 4, 2023",Kadın,"Yemek kartı
Yol / yakıt yardımı
Tıbbi izin",Türkiye,"34 İstanbul",Hybrid,1-50,"Product Manager",Mid,"5-9 Yıl","ChatGPT
Figma / XD ve diğer tasarım araçları
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları",Dolar,Net,%5-%10,"37.001 TL - 45.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Spor salonu üyeliği / indirimi
Hayat sigortası
Emeklilik planlama hizmetleri
İşsizlik sigortası",Türkiye,"34 İstanbul",Remote,5.000-10.000,"Backend Developer / Engineer",Junior,"0-1 Yıl","C# / .NET Framework
Java ve bağlı framework'ler","Türk Lirası",Net,%21-%35,"30.001 TL - 37.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı",Türkiye,"55 Samsun",Ofiste,1-50,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework","Türk Lirası",Net,%21-%35,"18.001 TL - 20.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Özel günlerce dhediye çeki
Personel servisi
Erzak yardımı
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Emeklilik planlama hizmetleri",Türkiye,"06 Ankara",Ofiste,"10.000 ve üzeri","Fullstack Developer / Engineer",Junior,"0-1 Yıl","C# / .NET Framework
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Microsoft Office Araçları
SQL","Türk Lirası",Net,%21-%35,"37.001 TL - 45.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Spor salonu üyeliği / indirimi
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,5.000-10.000,"Frontend Developer / Engineer",Mid,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%36-%50,"30.001 TL - 37.000 TL"
"Ağu 4, 2023",Erkek,"Özel günlerce dhediye çeki
Personel servisi
Tamamlayıcı sağlık sigortası
Hayat sigortası",Türkiye,"06 Ankara",Ofiste,5.000-10.000,"Backend Developer / Engineer",Junior,"0-1 Yıl","Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler","Türk Lirası",Net,%21-%35,"37.001 TL - 45.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Personel servisi
Erzak yardımı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,151-300,"Q/A - Test Automation Engineer",Mid,"3-5 Yıl","Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Brüt,%36-%50,"37.001 TL - 45.000 TL"
"Ağu 4, 2023",Kadın,"Yemek kartı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası","Yurt dışı","34 İstanbul",Remote,5.000-10.000,"Data Analyst",Junior,"0-1 Yıl","Python
SQL","Türk Lirası",Brüt,%21-%35,"20.001 TL - 25.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Şirket telefonu
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,151-300,"Q/A - Test Automation Engineer",Senior,"5-9 Yıl","Figma / XD ve diğer tasarım araçları
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Net,%21-%35,"37.001 TL - 45.000 TL"
"Ağu 4, 2023",Erkek,"Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,1.000-5.000,"Mobile Developer(Cross Platform)",Mid,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,,"20.001 TL - 25.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Özel günlerce dhediye çeki
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,51-150,"Data Warehouse Developer",Junior,"1-3 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
Microsoft Office Araçları
SQL","Türk Lirası",Net,%21-%35,"25.001 TL - 30.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Hayat sigortası",Türkiye,"34 İstanbul",Remote,151-300,"Backend Developer / Engineer",Mid,"3-5 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Javascript / Typescript ve bağlı framework'ler
NoSQL","Türk Lirası",Net,%21-%35,"37.001 TL - 45.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Özel günlerce dhediye çeki
Tamamlayıcı sağlık sigortası
Employee stock options
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"35 İzmir",Ofiste,1-50,"Backend Developer / Engineer",Senior,"5-9 Yıl","ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Golang
Linux
PHP",Dolar,Net,%11-%20,"100.001 TL - 130.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı",Türkiye,"34 İstanbul",Hybrid,601-1.000,"Site Reliability Engineer",Mid,"3-5 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Kubernetes
Linux","Türk Lirası",Net,%21-%35,"45.001 TL - 55.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Erzak yardımı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Hybrid,51-150,"Android Developer",Senior,"3-5 Yıl","C# / .NET Framework
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kotlin
SQL","Türk Lirası",Net,%36-%50,"37.001 TL - 45.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı",Türkiye,"55 Samsun",Ofiste,601-1.000,Intern,Junior,"0-1 Yıl",Linux,"Türk Lirası",Brüt,%5-%10,"11.402 TL ve altı"
"Ağu 4, 2023",Erkek,"Yemek kartı
Personel servisi
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,1.000-5.000,"Data Engineer",Senior,"3-5 Yıl","NoSQL
Python","Türk Lirası",Brüt,%21-%35,"55.001 TL - 70.000 TL"
"Ağu 4, 2023",Erkek,"Belirli günlerde izin(doğum günü, regl izni gibi)","Yurt dışı",,Remote,1-50,"Cyber Security Engineer",Mid,"3-5 Yıl","ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Linux
Python",Sterlin,Net,,"250.000 TL ve üzeri"
"Ağu 4, 2023",Erkek,"Yemek kartı
Erzak yardımı
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,301-600,"Tech Lead",Senior,"9-12 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Golang
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Linux
NoSQL
PHP
SQL","Türk Lirası",Net,%36-%50,"70.001 TL - 85.000 TL"
"Ağu 4, 2023",Erkek,"Şirket telefonu
Tamamlayıcı sağlık sigortası
Emeklilik planlama hizmetleri
Tıbbi izin","Yurt dışı",,Hybrid,151-300,"Backend Developer / Engineer",Mid,"3-5 Yıl","Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Python
SQL",Euro,Brüt,%5-%10,"130.001 TL - 160.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı",Türkiye,"34 İstanbul",Remote,51-150,"Cloud SysOps",Mid,"3-5 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Kubernetes
Linux","Türk Lirası",Net,%36-%50,"37.001 TL - 45.000 TL"
"Ağu 4, 2023",Erkek,"Şirket telefonu
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Tıbbi izin","Yurt dışı",,Remote,301-600,"Project Manager",Senior,"12 Yıl ve üzeri","Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Dolar,Net,,"45.001 TL - 55.000 TL"
"Ağu 4, 2023",Erkek,"Özel günlerce dhediye çeki
Personel servisi
Erzak yardımı
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Hayat sigortası
Emeklilik planlama hizmetleri",Türkiye,"34 İstanbul",Hybrid,"10.000 ve üzeri","Oracle Developer",Senior,"5-9 Yıl",SQL,"Türk Lirası",Net,%21-%35,"70.001 TL - 85.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Şirket telefonu
Tamamlayıcı sağlık sigortası
Tıbbi izin",Türkiye,"35 İzmir",Remote,1-50,"Salesforce Developer",Mid,"1-3 Yıl","ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
Salesforce","Türk Lirası",Net,%11-%20,"20.001 TL - 25.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Personel servisi
Tamamlayıcı sağlık sigortası
Employee stock options
Hayat sigortası
Emeklilik planlama hizmetleri",Türkiye,"34 İstanbul",Hybrid,301-600,"Software Engineer",Senior,"12 Yıl ve üzeri","C# / .NET Framework
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
SQL","Türk Lirası",Net,%11-%20,"55.001 TL - 70.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Özel günlerce dhediye çeki
Erzak yardımı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
İşsizlik sigortası",Türkiye,"34 İstanbul",Hybrid,301-600,"Software Engineer",Mid,"3-5 Yıl","C# / .NET Framework
Microsoft Office Araçları","Türk Lirası",Brüt,%36-%50,"30.001 TL - 37.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı",Türkiye,"16 Bursa",Remote,1-50,Diğer,Mid,"3-5 Yıl",Flutter,"Türk Lirası",Net,%11-%20,"45.001 TL - 55.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Özel günlerce dhediye çeki
Şirket telefonu",Türkiye,"34 İstanbul",Hybrid,1-50,DevOps,Junior,"3-5 Yıl","DevOps araçları
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
Microsoft Office Araçları","Türk Lirası",Net,%36-%50,"20.001 TL - 25.000 TL"
"Ağu 4, 2023",Erkek,"Yol / yakıt yardımı
Personel servisi
Erzak yardımı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Tıbbi izin",Türkiye,"34 İstanbul",Remote,"10.000 ve üzeri","Business Analyst",Senior,"9-12 Yıl","Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
No-code / Low-code Araçları
Salesforce","Türk Lirası",Net,%21-%35,"85.001 TL - 100.000 TL"
"Ağu 4, 2023",Erkek,"Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,601-1.000,"Fullstack Developer / Engineer",Senior,"5-9 Yıl","Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes","Türk Lirası",Net,%21-%35,"55.001 TL - 70.000 TL"
"Ağu 4, 2023",Erkek,"Belirli günlerde izin(doğum günü, regl izni gibi)","Yurt dışı",,Remote,151-300,"Backend Developer / Engineer",Senior,"5-9 Yıl",PHP,Dolar,Brüt,,"130.001 TL - 160.000 TL"
"Ağu 4, 2023",Erkek,"Tamamlayıcı sağlık sigortası",Türkiye,"10 Balıkesir",Ofiste,301-600,"SAP Consultant",Junior,"0-1 Yıl","Microsoft Office Araçları
NoSQL
SAP
SQL","Türk Lirası",Brüt,%36-%50,"15.001 TL - 18.000 TL"
"Ağu 4, 2023",Erkek,"Yol / yakıt yardımı
Şirket aracı
Şirket telefonu
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Hayat sigortası
Tıbbi izin","Yurt dışı",,Remote,51-150,"ABAP Consultant",Mid,"3-5 Yıl","Javascript / Typescript ve bağlı framework'ler
SAP",Euro,Net,,"85.001 TL - 100.000 TL"
"Ağu 4, 2023",Erkek,"Tıbbi izin","Yurt dışı",,Remote,1-50,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
Javascript / Typescript ve bağlı framework'ler
NoSQL
SQL",Dolar,Net,,"70.001 TL - 85.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,51-150,"Frontend Developer / Engineer",Mid,"3-5 Yıl","ChatGPT
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Net,%21-%35,"30.001 TL - 37.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Özel günlerce dhediye çeki
Şirket aracı
Şirket telefonu
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası","Yurt dışı","34 İstanbul",Hybrid,151-300,"Backend Developer / Engineer",Senior,"1-3 Yıl","Adobe CC araçları
C# / .NET Framework
C, C++
Flutter
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
NoSQL
Python
R
SAP
SQL
Swift
Salesforce","Türk Lirası",Net,%36-%50,"37.001 TL - 45.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Personel servisi
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,301-600,"Backend Developer / Engineer",Mid,"5-9 Yıl","C, C++","Türk Lirası",Brüt,%11-%20,"18.001 TL - 20.000 TL"
"Ağu 4, 2023",Erkek,"Tıbbi izin",Türkiye,"35 İzmir",Ofiste,1.000-5.000,Diğer,Mid,"3-5 Yıl","C# / .NET Framework
C, C++
Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Microsoft Office Araçları
No-code / Low-code Araçları
SQL","Türk Lirası",Net,%36-%50,"30.001 TL - 37.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Şirket telefonu
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,301-600,"Software Engineer",Junior,"0-1 Yıl","Java ve bağlı framework'ler
SQL","Türk Lirası",Net,%36-%50,"20.001 TL - 25.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,1-50,"Backend Developer / Engineer",Mid,"1-3 Yıl","Java ve bağlı framework'ler","Türk Lirası",Net,%21-%35,"25.001 TL - 30.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,51-150,"Frontend Developer / Engineer",Mid,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%21-%35,"30.001 TL - 37.000 TL"
"Ağu 4, 2023",Erkek,"Employee stock options",Türkiye,"16 Bursa",Remote,1-50,"Android Developer",Mid,"1-3 Yıl","ChatGPT
Figma / XD ve diğer tasarım araçları
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kotlin","Türk Lirası",Net,"%51 ve üzeri","20.001 TL - 25.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Hayat sigortası",Türkiye,"07 Antalya",Remote,301-600,"Backend Developer / Engineer",Senior,"5-9 Yıl","C# / .NET Framework
NoSQL","Türk Lirası",Net,%5-%10,"45.001 TL - 55.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"06 Ankara",Hybrid,1-50,"Frontend Developer / Engineer",Junior,"0-1 Yıl","C# / .NET Framework
ChatGPT
Flutter
Javascript / Typescript ve bağlı framework'ler
SQL","Türk Lirası",Net,,"20.001 TL - 25.000 TL"
"Ağu 4, 2023",Erkek,"Eğitim ödemeleri","Yurt dışı",,Remote,301-600,"Fullstack Developer / Engineer",Senior,"5-9 Yıl","C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
SQL",Sterlin,Brüt,%5-%10,"100.001 TL - 130.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Özel günlerce dhediye çeki
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,1-50,"Frontend Developer / Engineer",Mid,"3-5 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%21-%35,"25.001 TL - 30.000 TL"
"Ağu 4, 2023",Erkek,"Belirli günlerde izin(doğum günü, regl izni gibi)","Yurt dışı",,Hybrid,601-1.000,"iOS Developer",Senior,"5-9 Yıl",Swift,Euro,Brüt,,"130.001 TL - 160.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı",Türkiye,"34 İstanbul",Remote,1-50,"Backend Developer / Engineer",Mid,"1-3 Yıl","ChatGPT
Python
SQL","Türk Lirası",Net,%36-%50,"55.001 TL - 70.000 TL"
"Ağu 4, 2023",Erkek,"Tıbbi izin","Yurt dışı",,Remote,151-300,"Backend Developer / Engineer",Mid,"5-9 Yıl","Java ve bağlı framework'ler",Euro,Brüt,,"100.001 TL - 130.000 TL"
"Ağu 4, 2023",Erkek,"Belirli günlerde izin(doğum günü, regl izni gibi)","Yurt dışı",,Remote,"10.000 ve üzeri","Data Engineer",Senior,"5-9 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Kubernetes
Linux
NoSQL
Python
SQL",Dolar,Brüt,%5-%10,"160.001 TL - 200.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı",Türkiye,"34 İstanbul",Hybrid,1-50,"Android Developer",Junior,"0-1 Yıl",Kotlin,"Türk Lirası",Net,,"15.001 TL - 18.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası
Hayat sigortası",Türkiye,"34 İstanbul",Hybrid,51-150,"Cyber Security Engineer",Junior,"1-3 Yıl",Linux,"Türk Lirası",Net,%21-%35,"25.001 TL - 30.000 TL"
"Ağu 4, 2023",Erkek,"Spor salonu üyeliği / indirimi
Employee stock options","Yurt dışı",,Remote,51-150,"Fullstack Developer / Engineer",Senior,"12 Yıl ve üzeri","C, C++
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Linux
SQL",Dolar,Net,%5-%10,"200.000 TL - 250.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Özel günlerce dhediye çeki
Tamamlayıcı sağlık sigortası",Türkiye,"06 Ankara",Remote,"10.000 ve üzeri","System Support Engineer",Junior,"1-3 Yıl",Linux,"Türk Lirası",Net,,"20.001 TL - 25.000 TL"
"Ağu 4, 2023",Erkek,"Tamamlayıcı sağlık sigortası","Yurt dışı",,Remote,1-50,"Fullstack Developer / Engineer",Senior,"12 Yıl ve üzeri","Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Linux
NoSQL
Python",Dolar,Net,,"55.001 TL - 70.000 TL"
"Ağu 4, 2023",Erkek,"Yemek kartı
Hayat sigortası",Türkiye,"34 İstanbul",Remote,151-300,"iOS Developer",Senior,"3-5 Yıl",Swift,"Türk Lirası",Net,%21-%35,"37.001 TL - 45.000 TL"
